Date,Hashrate(TH/s)
2013/08/02,332.7260031
2013/08/03,317.8555673
2013/08/04,317.8555672
2013/08/05,351.314048
2013/08/06,327.1495897
2013/08/07,327.1495897
2013/08/08,386.6313333
2013/08/09,369.9020929
2013/08/10,369.9020929
2013/08/11,425.6662275
2013/08/12,484.9527656
2013/08/13,484.9527656
2013/08/14,421.8078742
2013/08/15,434.4368525
2013/08/16,434.4368525
2013/08/17,497.5817439
2013/08/18,449.5916264
2013/08/19,449.5916264
2013/08/20,520.3139047
2013/08/21,525.365496
2013/08/22,525.365496
2013/08/23,607.9322986
2013/08/24,467.3888102
2013/08/25,467.3888102
2013/08/26,562.1739535
2013/08/27,545.8316874
2013/08/28,545.8316874
2013/08/29,634.0799243
2013/08/30,702.7174419
2013/08/31,702.7174419
2013/09/01,768.0865063
2013/09/02,604.6638454
2013/09/03,604.6638454
2013/09/04,704.3985918
2013/09/05,821.0781131
2013/09/06,821.0781131
2013/09/07,643.8980992
2013/09/08,834.0425044
2013/09/09,834.0425044
2013/09/10,868.6142144
2013/09/11,898.8644607
2013/09/12,898.8644606
2013/09/13,933.4361707
2013/09/14,1024.579581
2013/09/15,1024.579581
2013/09/16,990.9868074
2013/09/17,845.4181239
2013/09/18,845.4181239
2013/09/19,1080.567536
2013/09/20,1046.974763
2013/09/21,1046.974763
2013/09/22,1237.33381
2013/09/23,1125.3579
2013/09/24,1125.3579
2013/09/25,1265.031076
2013/09/26,1302.020289
2013/09/27,1302.020289
2013/09/28,1242.837548
2013/09/29,1213.246178
2013/09/30,1213.246178
2013/10/01,1279.826761
2013/10/02,1538.75125
2013/10/03,1538.75125
2013/10/04,1560.944778
2013/10/05,1900.662831
2013/10/06,1900.662831
2013/10/07,1467.838622
2013/10/08,1721.887615
2013/10/09,1721.887615
2013/10/10,1665.432283
2013/10/11,1853.616722
2013/10/12,1853.616722
2013/10/13,2427.57926
2013/10/14,2333.487041
2013/10/15,2333.487041
2013/10/16,2382.309675
2013/10/17,2302.45572
2013/10/18,2302.45572
2013/10/19,2874.742402
2013/10/20,2675.107513
2013/10/21,2675.107513
2013/10/22,2808.197439
2013/10/23,2781.579453
2013/10/24,2781.579453
2013/10/25,3867.201912
2013/10/26,3439.672053
2013/10/27,3439.672053
2013/10/28,3051.008544
2013/10/29,3808.902386
2013/10/30,3808.902386
2013/10/31,3692.303334
2013/11/01,4216.99907
2013/11/02,4216.99907
2013/11/03,3886.635088
2013/11/04,3303.639825
2013/11/05,3303.639825
2013/11/06,3911.362076
2013/11/07,3377.99452
2013/11/08,3377.99452
2013/11/09,4266.940446
2013/11/10,4952.698733
2013/11/11,4952.698733
2013/11/12,4774.909547
2013/11/13,4292.338902
2013/11/14,4292.338902
2013/11/15,4978.097188
2013/11/16,5847.426832
2013/11/17,5847.426832
2013/11/18,4696.119995
2013/11/19,4938.500381
2013/11/20,4938.500381
2013/11/21,5029.393026
2013/11/22,4908.202833
2013/11/23,4908.202833
2013/11/24,5453.558703
2013/11/25,4968.79793
2013/11/26,4968.79793
2013/11/27,5514.1538
2013/11/28,6505.60945
2013/11/29,6505.60945
2013/11/30,6857.264015
2013/12/01,5731.969408
2013/12/02,5731.969408
2013/12/03,6224.285799
2013/12/04,6013.29306
2013/12/05,6013.29306
2013/12/06,6751.767646
2013/12/07,6294.616711
2013/12/08,6294.616711
2013/12/09,9076.027624
2013/12/10,7134.389874
2013/12/11,7134.389874
2013/12/12,7495.624804
2013/12/13,9030.873258
2013/12/14,9030.873258
2013/12/15,8714.792694
2013/12/16,8895.410159
2013/12/17,8895.410159
2013/12/18,9753.343119
2013/12/19,9121.181991
2013/12/20,9121.181991
2013/12/21,9744.865734
2013/12/22,9333.937661
2013/12/23,9333.937661
2013/12/24,10097.0898
2013/12/25,10508.01787
2013/12/26,10508.01787
2013/12/27,9627.457714
2013/12/28,8805.601567
2013/12/29,8805.601567
2013/12/30,9920.977766
2013/12/31,11740.80209
2014/01/01,11740.80209
2014/01/02,11493.6341
2014/01/03,10435.93771
2014/01/04,10435.93771
2014/01/05,12480.81739
2014/01/06,13185.94832
2014/01/07,13185.94832
2014/01/08,12762.86976
2014/01/09,14243.64471
2014/01/10,14243.64471
2014/01/11,13397.4876
2014/01/12,18058.64887
2014/01/13,18058.64887
2014/01/14,15211.96531
2014/01/15,17791.77229
2014/01/16,17791.77229
2014/01/17,14500.29442
2014/01/18,16368.43051
2014/01/19,16368.43051
2014/01/20,15300.92417
2014/01/21,16902.18368
2014/01/22,16902.18368
2014/01/23,21375.12675
2014/01/24,16903.79922
2014/01/25,16903.79922
2014/01/26,17558.13983
2014/01/27,18103.42368
2014/01/28,18103.42368
2014/01/29,17449.08306
2014/01/30,20066.44552
2014/01/31,20066.44552
2014/02/01,19412.10491
2014/02/02,21157.01322
2014/02/03,21157.01322
2014/02/04,22283.13349
2014/02/05,21761.8906
2014/02/06,21761.8906
2014/02/07,22804.37638
2014/02/08,19676.91905
2014/02/09,19676.91905
2014/02/10,21761.8906
2014/02/11,21761.8906
2014/02/12,21761.8906
2014/02/13,24889.34793
2014/02/14,23455.92999
2014/02/15,23455.92999
2014/02/16,25824.93977
2014/02/17,25980.5117
2014/02/18,25980.5117
2014/02/19,26602.7994
2014/02/20,26136.08362
2014/02/21,26136.08362
2014/02/22,28314.09059
2014/02/23,28314.09059
2014/02/24,28314.09059
2014/02/25,28158.51867
2014/02/26,28314.09059
2014/02/27,28314.09059
2014/02/28,28072.73751
2014/03/01,28262.41817
2014/03/02,28262.41817
2014/03/03,26365.61158
2014/03/04,30538.58608
2014/03/05,30538.58608
2014/03/06,31676.67003
2014/03/07,33194.1153
2014/03/08,33194.1153
2014/03/09,31297.30871
2014/03/10,31866.35069
2014/03/11,31866.35069
2014/03/12,35706.23191
2014/03/13,29367.84755
2014/03/14,29367.84755
2014/03/15,33382.15765
2014/03/16,37607.74722
2014/03/17,37607.74722
2014/03/18,32748.31921
2014/03/19,35283.67296
2014/03/20,35283.67296
2014/03/21,37185.18827
2014/03/22,43312.29315
2014/03/23,43312.29315
2014/03/24,37582.75087
2014/03/25,39324.9976
2014/03/26,39324.9976
2014/03/27,45547.30735
2014/03/28,42560.59867
2014/03/29,42560.59867
2014/03/30,41813.9215
2014/03/31,44551.73779
2014/04/01,44551.73779
2014/04/02,51769.6171
2014/04/03,50027.37037
2014/04/04,50027.37037
2014/04/05,43198.27922
2014/04/06,44415.13216
2014/04/07,44415.13216
2014/04/08,44110.91892
2014/04/09,53237.31594
2014/04/10,53237.31594
2014/04/11,48674.11743
2014/04/12,60538.43356
2014/04/13,60538.43356
2014/04/14,59321.58062
2014/04/15,45327.77186
2014/04/16,45327.77186
2014/04/17,54119.54337
2014/04/18,56547.98442
2014/04/19,56547.98442
2014/04/20,61404.86652
2014/04/21,53425.70307
2014/04/22,53425.70307
2014/04/23,50997.26202
2014/04/24,56894.90457
2014/04/25,56894.90457
2014/04/26,57935.66502
2014/04/27,57588.74487
2014/04/28,57588.74487
2014/04/29,58067.92463
2014/04/30,66817.88587
2014/05/01,66817.88587
2014/05/02,57272.47361
2014/05/03,60454.2777
2014/05/04,60454.27769
2014/05/05,73976.94507
2014/05/06,64829.25832
2014/05/07,64829.25832
2014/05/08,66022.43485
2014/05/09,70397.41547
2014/05/10,70397.41547
2014/05/11,69096.59676
2014/05/12,74817.97102
2014/05/13,74817.97102
2014/05/14,73057.54817
2014/05/15,80099.23956
2014/05/16,80099.23956
2014/05/17,67776.27963
2014/05/18,77898.711
2014/05/19,77898.711
2014/05/20,78338.81671
2014/05/21,73497.65388
2014/05/22,73497.65388
2014/05/23,87319.1201
2014/05/24,78483.25676
2014/05/25,78483.25676
2014/05/26,67048.61008
2014/05/27,91996.9301
2014/05/28,91996.9301
2014/05/29,84720.33676
2014/05/30,79003.01342
2014/05/31,79003.01342
2014/06/01,93036.44344
2014/06/02,97714.25344
2014/06/03,97714.25344
2014/06/04,75364.71675
2014/06/05,86494.36212
2014/06/06,86494.36212
2014/06/07,87663.20486
2014/06/08,79481.30574
2014/06/09,79481.30574
2014/06/10,85325.51939
2014/06/11,90585.31168
2014/06/12,90585.31168
2014/06/13,102858.1604
2014/06/14,108702.374
2014/06/15,108702.374
2014/06/16,104027.0031
2014/06/17,113768.8429
2014/06/18,113768.8429
2014/06/19,123807.2702
2014/06/20,126484.1841
2014/06/21,126484.1841
2014/06/22,105738.101
2014/06/23,132507.2405
2014/06/24,132507.2405
2014/06/25,114438.0713
2014/06/26,125145.7271
2014/06/27,125145.7271
2014/06/28,145472.7434
2014/06/29,104506.2812
2014/06/30,104506.2812
2014/07/01,116210.9847
2014/07/02,111194.6832
2014/07/03,111194.6832
2014/07/04,127079.6379
2014/07/05,124571.4872
2014/07/06,124571.4872
2014/07/07,135440.1404
2014/07/08,132931.9897
2014/07/09,132931.9897
2014/07/10,125407.5374
2014/07/11,137948.2912
2014/07/12,137948.2912
2014/07/13,124959.9838
2014/07/14,118927.4328
2014/07/15,118927.4328
2014/07/16,147366.6015
2014/07/17,137025.0856
2014/07/18,137025.0856
2014/07/19,146504.8085
2014/07/20,128407.1557
2014/07/21,128407.1557
2014/07/22,125821.7767
2014/07/23,128407.1557
2014/07/24,128407.1557
2014/07/25,130395.0986
2014/07/26,149954.3634
2014/07/27,149954.3634
2014/07/28,138777.6407
2014/07/29,162993.8733
2014/07/30,162993.8733
2014/07/31,142503.215
2014/08/01,157405.5119
2014/08/02,157405.5119
2014/08/03,125738.1308
2014/08/04,122943.9502
2014/08/05,122943.9502
2014/08/06,146228.7892
2014/08/07,157903.3291
2014/08/08,157903.3291
2014/08/09,175557.1175
2014/08/10,178499.4155
2014/08/11,178499.4155
2014/08/12,153980.265
2014/08/13,166730.2233
2014/08/14,166730.2233
2014/08/15,167710.9893
2014/08/16,161826.3932
2014/08/17,161826.3932
2014/08/18,202037.8
2014/08/19,187281.3463
2014/08/20,187281.3463
2014/08/21,190837.3213
2014/08/22,186096.0214
2014/08/23,186096.0214
2014/08/24,158833.5469
2014/08/25,196763.9462
2014/08/26,196763.9462
2014/08/27,214543.8208
2014/08/28,196763.9462
2014/08/29,196763.9462
2014/08/30,231138.3705
2014/08/31,204522.6957
2014/09/01,204522.6957
2014/09/02,216794.0574
2014/09/03,227701.9345
2014/09/04,227701.9345
2014/09/05,229065.4191
2014/09/06,223611.4806
2014/09/07,223611.4806
2014/09/08,179979.9722
2014/09/09,212703.6035
2014/09/10,212703.6035
2014/09/11,219521.0267
2014/09/12,241336.7809
2014/09/13,241336.7809
2014/09/14,219460.9233
2014/09/15,250600.6489
2014/09/16,250600.6489
2014/09/17,274326.1542
2014/09/18,240220.7404
2014/09/19,240220.7404
2014/09/20,259497.7134
2014/09/21,232806.52
2014/09/22,232806.52
2014/09/23,241703.5845
2014/09/24,241703.5845
2014/09/25,241703.5845
2014/09/26,220547.69
2014/09/27,239501.0072
2014/09/28,239501.0072
2014/09/29,261900.3819
2014/09/30,249839.1801
2014/10/01,249839.1801
2014/10/02,242947.0648
2014/10/03,246393.1225
2014/10/04,246393.1225
2014/10/05,275684.6125
2014/10/06,260177.3531
2014/10/07,260177.3531
2014/10/08,247077.5603
2014/10/09,276657.2683
2014/10/10,276657.2683
2014/10/11,257517.4572
2014/10/12,266217.3713
2014/10/13,266217.3713
2014/10/14,255777.4744
2014/10/15,260997.4229
2014/10/16,260997.4229
2014/10/17,294057.0964
2014/10/18,233157.6978
2014/10/19,233157.6978
2014/10/20,243597.5947
2014/10/21,297537.0621
2014/10/22,297537.0621
2014/10/23,291583.5085
2014/10/24,271906.0938
2014/10/25,271906.0938
2014/10/26,266539.5262
2014/10/27,268328.3821
2014/10/28,268328.3821
2014/10/29,309472.0673
2014/10/30,336304.9055
2014/10/31,336304.9055
2014/11/01,293372.3644
2014/11/02,277272.6615
2014/11/03,277272.6615
2014/11/04,314993.4284
2014/11/05,285462.7945
2014/11/06,285462.7945
2014/11/07,307118.5927
2014/11/08,273650.541
2014/11/09,273650.541
2014/11/10,277587.9588
2014/11/11,265775.7052
2014/11/12,265775.7052
2014/11/13,287431.5034
2014/11/14,295306.3392
2014/11/15,295306.3392
2014/11/16,299243.757
2014/11/17,295306.3392
2014/11/18,295306.3392
2014/11/19,274455.5762
2014/11/20,248412.3463
2014/11/21,248412.3463
2014/11/22,282468.8777
2014/11/23,310515.4329
2014/11/24,310515.4329
2014/11/25,286475.5284
2014/11/26,262435.624
2014/11/27,262435.624
2014/11/28,302502.1314
2014/11/29,312518.7583
2014/11/30,312518.7583
2014/12/01,284472.2031
2014/12/02,242402.3702
2014/12/03,242402.3702
2014/12/04,298317.3202
2014/12/05,288373.4095
2014/12/06,288373.4095
2014/12/07,298317.3202
2014/12/08,276440.7167
