Date,ETH Price (USD),Hashrate (GH/s),Blocks per day,,
6/7/2017,255.77,41466.1245,5239,,
6/8/2017,259.41,41827.9352,5209,,
6/9/2017,279.11,41762.2012,5214,,
6/10/2017,335.95,43934.269,5332,,
6/11/2017,339.68,45025.9063,5246,,
6/12/2017,394.66,44971.345,5237,,
6/13/2017,388.09,46524.8904,5272,,
6/14/2017,343.84,47653.2451,5293,,
6/15/2017,344.68,48524.7456,5305,,
6/16/2017,353.61,49363.4715,5336,,
6/17/2017,368.1,50988.985,5279,,
6/18/2017,351.53,51996.5122,5347,,
6/19/2017,358.2,52568.3389,5334,,
6/20/2017,350.53,53605.3273,4967,,
6/21/2017,325.3,54107.974,4898,,
6/22/2017,320.97,54738.2538,4944,,
6/23/2017,326.85,54340.7602,4890,,
6/24/2017,304.54,55696.7824,4939,,
6/25/2017,279.36,56394.2575,4926,,
6/26/2017,253.68,58414.4698,4965,,
6/27/2017,286.14,58319.7387,5001,,
6/28/2017,315.86,59928.6376,4961,,
6/29/2017,292.9,61553.5382,5027,,
6/30/2017,280.68,61650.5709,5036,,
7/1/2017,261,62556.7775,5009,,
7/2/2017,283.99,63113.6089,5034,,
7/3/2017,276.41,64997.08,5052,,
7/4/2017,269.05,66569.3952,5078,,
7/5/2017,266,64822.7346,4985,,
7/6/2017,265.88,65978.5137,5046,,
7/7/2017,240.94,67085.5686,5084,,
7/8/2017,245.67,67464.2959,5087,,
7/9/2017,237.72,68072.3545,5094,,
7/10/2017,205.76,69107.6248,4594,,
7/11/2017,190.55,68636.1856,4520,,
7/12/2017,224.15,66929.7884,4509,,
7/13/2017,205.41,67583.3821,4512,,
7/14/2017,197.14,66162.8973,4502,,
7/15/2017,169.1,68590.0251,4603,,
7/16/2017,155.42,70207.4606,4575,,
7/17/2017,189.97,66693.2842,4459,,
7/18/2017,227.09,68408.1739,4551,,
7/19/2017,194.41,71183.4584,4637,,
7/20/2017,226.33,73430.2935,4632,,
7/21/2017,216.33,73178.0557,4543,,
7/22/2017,230.47,72967.3365,4649,,
7/23/2017,228.32,75690.2025,4660,,
7/24/2017,225.48,73612.8357,4582,,
